method,file,phi,tp,fp,fn,f1,matched_iou,n_pred,n_gt
ours (watershed),SKOV3_Phase_E4_2_02d04h00m_4.tif,0.8348433190832483,137,116,48,0.6255707762557078,0.7347520346875582,253,185
ours (watershed),A172_Phase_C7_2_02d16h00m_4.tif,0.8449416152207169,197,184,128,0.5580736543909348,0.6877840326484322,381,325
ours (watershed),SKOV3_Phase_F4_2_02d00h00m_1.tif,0.8595048470279786,115,175,51,0.5043859649122807,0.7498211487529367,290,166
ours (watershed),SKOV3_Phase_F4_2_02d08h00m_3.tif,0.8677490965089631,155,159,48,0.5996131528046421,0.7723230057422442,314,203
ours (watershed),SKOV3_Phase_E4_1_02d20h00m_2.tif,0.878217421874996,244,142,91,0.6768377253814147,0.7265086905737569,386,335
ours (watershed),SKOV3_Phase_E4_2_02d12h00m_3.tif,0.8898521802611433,150,123,40,0.6479481641468683,0.7427845801819979,273,190
ours (watershed),SKOV3_Phase_E4_1_02d16h00m_2.tif,0.8982656349705043,224,128,79,0.683969465648855,0.723499626360044,352,303
ours (watershed),SKOV3_Phase_E4_1_02d00h00m_1.tif,0.9090176134997876,208,138,57,0.6808510638297872,0.7613291664495794,346,265
connected comp.,BV2_Phase_A4_2_02d04h00m_3.tif,0.0007375248579544,0,77,2,0.0,,77,2
connected comp.,BV2_Phase_A4_1_00d00h00m_1.tif,0.0294019703343539,53,16,27,0.7114093959731543,0.8339188203895849,69,80
connected comp.,BV2_Phase_A4_2_00d12h00m_2.tif,0.0368112431708886,40,20,66,0.4819277108433735,0.8651200148939406,60,106
connected comp.,BV2_Phase_A4_2_00d12h00m_3.tif,0.0422572508741204,35,24,82,0.3977272727272727,0.8569830624526504,59,117
connected comp.,BV2_Phase_A4_1_00d08h00m_4.tif,0.0474488331785449,50,25,80,0.4878048780487805,0.8401128465430381,75,130
connected comp.,BV2_Phase_A4_1_00d12h00m_4.tif,0.0585218098502969,51,24,102,0.4473684210526316,0.8694276792601394,75,153
connected comp.,BV2_Phase_A4_1_00d16h00m_4.tif,0.0667061146470662,53,30,120,0.4140625,0.8378964390979438,83,173
connected comp.,SHSY5Y_Phase_A10_1_00d00h00m_1.tif,0.0716887744482031,35,33,135,0.2941176470588235,0.790867983860881,68,170
connected comp.,MCF7_Phase_H4_1_00d04h00m_1.tif,0.0813146346427115,31,15,53,0.4769230769230769,0.7834525335118435,46,84
connected comp.,Huh7_Phase_A12_1_00d04h00m_4.tif,0.0888376772836557,19,9,16,0.6031746031746031,0.8541124168063816,28,35
connected comp.,SHSY5Y_Phase_A10_2_00d04h00m_1.tif,0.0926829638330505,17,32,115,0.1878453038674033,0.8089149367569407,49,132
connected comp.,A172_Phase_C7_2_00d00h00m_4.tif,0.0981362103911707,43,2,18,0.8113207547169812,0.8445758841600471,45,61
connected comp.,BT474_Phase_D3_2_00d00h00m_4.tif,0.1027899897563427,50,23,70,0.5181347150259067,0.8284147156744541,73,120
